Log of Arch Linux Women 33rd IRC meeting, 07 December 2014

2014-12-07 16:22:03 <demize>	==========> Meeting started <==========
2014-12-07 16:22:14 <demize>	kristof: It’s also the whole thing where they get access to all your data.
2014-12-07 16:22:43 <kristof>	demize: considering task management stuff isn't really private to begin with, that doesn't concern me
2014-12-07 16:22:45 <demize>	fsckd said they’d come in around 10 minutes so can wait with those parts until then I guess.
2014-12-07 16:22:55 <tigrmesh>	my dog is desperately trying to get my attention.  i think she needs to poop.  i'll be back asap
2014-12-07 16:22:56 <demize>	kristof: Some things part of a task can be.
2014-12-07 16:22:57 *	tigrmesh gives channel operator status to demize
2014-12-07 16:23:01 <demize>	tigrmesh: o/
2014-12-07 16:23:13 <demize>	halosghost: You about?
2014-12-07 16:23:24 <kristof>	demize: true, but I will also say that the interface is quite attractive
2014-12-07 16:23:43 <demize>	kristof: From the littler I've seen, agreed. It looks nice.
2014-12-07 16:24:02 *	MarkDude 's new favorite UK phrase: Im going to see a man about a dog (meaning I need to go- leave, drink, etc)
2014-12-07 16:24:33 <halosghost>	demize: I am
2014-12-07 16:24:38 <halosghost>	oh, a meeting
2014-12-07 16:24:42 <halosghost>	\o/
2014-12-07 16:25:20 <demize>	halosghost: Had any time to do any work on the static typing class?
2014-12-07 16:25:38 <halosghost>	I'm afraid not
2014-12-07 16:25:51 <halosghost>	but then, no one has sent me significant feedback beyond last time
2014-12-07 16:26:13 <halosghost>	I can tweak a few more things, but I think without more feedback, I'm approaching readiness
2014-12-07 16:26:58 <demize>	Yeah.
2014-12-07 16:27:18 <demize>	Cool. Can add it to the #archlinux/-oft topics too later asking for feedback.
2014-12-07 16:27:31 <halosghost>	sure, sounds fine to me
2014-12-07 16:27:34 <demize>	Hopefully that’ll get some more attention
2014-12-07 16:27:58 <demize>	Might be a good idea to send an email to arch-general too.
2014-12-07 16:28:15 <halosghost>	Sounds good as well
2014-12-07 16:28:18 <halosghost>	I'll try to do it tonight
2014-12-07 16:28:58 *	holomorph (~holomorph@unaffiliated/holomorph) has joined
2014-12-07 16:29:20 <demize>	Awesome
2014-12-07 16:31:28 <demize>	Anything else anyone want to bring up until fsckd comes around?
2014-12-07 16:32:37 <MarkDude>	Arch is more awesome, the more I see it. eof
2014-12-07 16:33:00 <demize>	Heh, awesome.
2014-12-07 16:33:20 <fsckd>	i'm back, reading backlog
2014-12-07 16:33:52 <demize>	WB
2014-12-07 16:34:06 <fsckd>	thanks :) congrats on getting op XD
2014-12-07 16:34:13 <demize>	Hehe, ;)
2014-12-07 16:34:20 <demize>	MOHAHAHAHAHA
2014-12-07 16:34:23 <demize>	*cough* I mean..
2014-12-07 16:34:30 <fsckd>	haha :P
2014-12-07 16:34:44 <MarkDude>	lol
2014-12-07 16:35:12 <demize>	So, did the SSL cert reissuing go well? ^^,
2014-12-07 16:35:18 <fsckd>	yup
2014-12-07 16:35:59 <fsckd>	we switched to SHA2 from SHA1 as SHA1 is getting old and Google was threatening to have sites with that marked as insecure in Chromium
2014-12-07 16:36:26 <fsckd>	they haven't done it but nonetheless it's a good thing to improve security, even if by a little
2014-12-07 16:37:13 <fsckd>	links for people who want more info. https://community.qualys.com/blogs/securitylabs/2014/09/09/sha1-deprecation-what-you-need-to-know  and  http://googleonlinesecurity.blogspot.co.uk/2014/09/gradually-sunsetting-sha-1.html
2014-12-07 16:37:14 <phrik>	Title: Security Labs: SHA1 Deprecation: What You Need ... | Qualys Community (at community.qualys.com)
2014-12-07 16:37:41 <fsckd>	meskarune opened a bug report for Arch Linux https://bugs.archlinux.org/task/42778
2014-12-07 16:37:42 <phrik>	Title: FS#42778 : Update website SSL certificates with sha2 certificates (at bugs.archlinux.org)
2014-12-07 16:37:52 <tigrmesh>	i'm back too
2014-12-07 16:38:00 <fsckd>	welcome back :D
2014-12-07 16:38:11 <tigrmesh>	thank you demize   :)
2014-12-07 16:38:18 *	tigrmesh removes channel operator status from demize
2014-12-07 16:38:26 *	tigrmesh removes channel operator status from tigrmesh
2014-12-07 16:38:39 <demize>	wb tigrmesh o/
2014-12-07 16:38:48 <demize>	fsckd: And awesome!
2014-12-07 16:39:16 <demize>	I should get my ssl cert reissued sometime too really.
2014-12-07 16:39:21 *	GermainZ has quit (Remote host closed the connection)
2014-12-07 16:40:14 *	GermainZ (~GermainZ@unaffiliated/germainz) has joined
2014-12-07 16:40:52 <demize>	And how did the kexec setup go? :)
2014-12-07 16:41:06 <tigrmesh>	to clarify, demize is still leading the meeting.  i was thanking him for taking on the task of being willing to kick out any disruptive person who might have appeared   :)
2014-12-07 16:41:33 <demize>	^^,
2014-12-07 16:42:34 <fsckd>	kexec thing went well. i copied the systemd unit used in that Debian->Arch conversion script for DO
2014-12-07 16:42:44 <MarkDude>	Alwqays need an active person willing to swing the banhammer.....
2014-12-07 16:43:01 <fsckd>	quite true
2014-12-07 16:43:42 <fsckd>	i did have to make a slight modification. it wouldn't work without the WantedBy= part
2014-12-07 16:44:39 <demize>	Yeah, the script seems to be just enabling it statically instead
2014-12-07 16:44:53 <fsckd>	yeah
2014-12-07 16:44:58 <demize>	But yeah, awesome to be running grsec on the server.
2014-12-07 16:45:47 <fsckd>	also want to be able to disable it for debugging purposes
2014-12-07 16:46:06 <demize>	Always good to be able to do.
2014-12-07 16:46:10 <fsckd>	i put everything on the wiki https://archwomen.org/wiki/aw-tech:kexec
2014-12-07 16:46:11 <phrik>	Title: kexec [Arch Women Wiki] (at archwomen.org)
2014-12-07 16:46:44 <demize>	Handy for anyone else who might want to do it.
2014-12-07 16:47:02 <fsckd>	yup :)
2014-12-07 16:47:23 <fsckd>	one of things we like to do is document everything so that others can benefit
2014-12-07 16:47:37 <MarkDude>	Arch and its devotion to docs. Still awesome :D
2014-12-07 16:47:45 <fsckd>	(not to mention we tend to forget how we set things up. me in particular :P)
2014-12-07 16:47:56 <demize>	MarkDude: AW is technically a separate project. ;)
2014-12-07 16:48:06 <MarkDude>	sp/like/love/ sorta a belief system, IMHO 
2014-12-07 16:48:12 <demize>	fsckd: I do that all the time too >.>
